City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
91,berlevag,NO,37.2,overcast clouds,70.86,29.09,Kvitbrakka
92,bonthe,SL,75.94,overcast clouds,7.53,-12.51,Bonthe Holiday Village
93,mehamn,NO,37.33,overcast clouds,71.04,27.85,Mehamn Arctic Hotel AS
94,alyangula,AU,88.3,broken clouds,-13.85,136.42,Groote Eylandt Lodge
95,los llanos de aridane,ES,58.75,overcast clouds,28.66,-17.92,Valle Aridane
96,darhan,MN,17.96,clear sky,49.49,105.92,Buudai Hotel
98,yellowknife,CA,33.42,overcast clouds,62.46,-114.35,The Explorer Hotel
99,harper,LR,79.48,overcast clouds,4.38,-7.72,Screensaver
100,naze,JP,62.33,overcast clouds,28.37,129.48,Shishime Hotel
101,svetlyy,RU,33.96,clear sky,54.67,20.13,"Gostinitsa-Kafe, Alena"
102,clarksburg,US,46.85,clear sky,39.28,-80.34,Greenbrier Motel & Restaurant
103,kushima,JP,51.08,light rain,31.46,131.23,Hanaoka
105,broken hill,AU,87.76,few clouds,-31.95,141.43,Daydream Motel & Cottages
106,loukhi,RU,29.32,clear sky,66.08,33.04,Хостел Северяночка
107,oktyabrskoye,RU,12.34,clear sky,43.06,44.74,Prolesok Mini-hotel
108,sarakhs,IR,48.99,overcast clouds,36.54,61.16,پیرایش امیرحسین
109,georgetown,MY,78.73,scattered clouds,5.41,100.34,Cititel Penang
110,geraldton,AU,73.81,clear sky,-28.77,114.6,Broadwater Mariner Resort
111,penzance,GB,48.83,broken clouds,50.12,-5.54,Artist Residence Penzance
112,stokmarknes,NO,44.15,overcast clouds,68.56,14.91,Vesterålen Kysthotell
113,isesaki,JP,50.9,overcast clouds,36.32,139.2,シーズ
116,ayan,RU,19.22,scattered clouds,56.45,138.17,Gostinitsa
117,dingle,PH,84.18,overcast clouds,11.0,122.67,SEGAYA PROPERTY
122,merta,IN,69.3,clear sky,26.65,74.03,V Resorts Ganthiya
124,hobart,AU,68.22,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
