City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
91,berlevag,NO,70.86,29.09,37.2,72,100,19.13,overcast clouds
92,bonthe,SL,7.53,-12.51,75.94,83,98,3.42,overcast clouds
93,mehamn,NO,71.04,27.85,37.33,67,100,18.92,overcast clouds
94,alyangula,AU,-13.85,136.42,88.3,61,58,11.12,broken clouds
95,los llanos de aridane,ES,28.66,-17.92,58.75,75,100,8.05,overcast clouds
96,darhan,MN,49.49,105.92,17.96,75,4,4.54,clear sky
97,novyy urengoy,RU,66.08,76.63,4.6,100,100,4.29,overcast clouds
98,yellowknife,CA,62.46,-114.35,33.42,81,100,6.49,overcast clouds
99,harper,LR,4.38,-7.72,79.48,85,100,3.49,overcast clouds
100,naze,JP,28.37,129.48,62.33,67,100,7.49,overcast clouds
101,svetlyy,RU,54.67,20.13,33.96,65,6,4.38,clear sky
102,clarksburg,US,39.28,-80.34,46.85,57,0,4.61,clear sky
103,kushima,JP,31.46,131.23,51.08,92,100,3.62,light rain
104,camacupa,AO,-12.02,17.48,61.09,98,100,0.96,light rain
105,broken hill,AU,-31.95,141.43,87.76,25,13,10.51,few clouds
106,loukhi,RU,66.08,33.04,29.32,84,0,6.08,clear sky
107,oktyabrskoye,RU,43.06,44.74,12.34,92,8,6.71,clear sky
108,sarakhs,IR,36.54,61.16,48.99,46,100,7.25,overcast clouds
109,georgetown,MY,5.41,100.34,78.73,89,40,2.3,scattered clouds
110,geraldton,AU,-28.77,114.6,73.81,68,5,20.71,clear sky
111,penzance,GB,50.12,-5.54,48.83,88,82,18.99,broken clouds
112,stokmarknes,NO,68.56,14.91,44.15,60,99,19.28,overcast clouds
113,isesaki,JP,36.32,139.2,50.9,33,100,5.61,overcast clouds
114,ilinskaya,RU,45.72,40.72,29.44,54,6,5.17,clear sky
115,arman,RU,59.7,150.17,30.02,71,100,11.16,overcast clouds
116,ayan,RU,56.45,138.17,19.22,62,44,10.58,scattered clouds
117,dingle,PH,11.0,122.67,84.18,72,100,10.92,overcast clouds
118,kidal,ML,18.44,1.41,79.23,11,20,13.42,few clouds
119,luyang,CN,27.62,110.1,44.24,92,100,4.63,overcast clouds
120,boende,CD,-0.22,20.87,70.99,99,100,2.37,moderate rain
121,kysyl-syr,RU,63.9,122.76,14.11,93,100,6.08,overcast clouds
122,merta,IN,26.65,74.03,69.3,22,4,9.31,clear sky
123,saint-louis,SN,16.33,-15.0,72.72,38,13,10.94,few clouds
124,hobart,AU,-42.88,147.33,68.22,73,75,8.05,broken clouds
125,westport,US,41.14,-73.36,50.2,63,100,13.8,overcast clouds
126,celestun,MX,20.87,-90.4,79.32,76,74,16.91,broken clouds
127,sovetskiy,RU,61.36,63.58,25.97,92,100,13.47,light snow
128,cedar city,US,37.68,-113.06,36.57,70,100,12.66,overcast clouds
129,ternuvate,UA,47.83,36.13,26.53,94,7,4.7,clear sky
130,wagar,SD,16.15,36.2,75.67,57,0,9.06,clear sky
131,algiers,DZ,36.75,3.04,58.82,63,40,6.91,scattered clouds
132,vestmannaeyjar,IS,63.44,-20.27,39.09,63,100,4.09,overcast clouds
133,salinas,US,36.68,-121.66,68.85,55,0,13.8,clear sky
134,meulaboh,ID,4.14,96.13,76.24,85,100,2.66,overcast clouds
135,katsuura,JP,35.13,140.3,45.25,90,100,12.55,overcast clouds
136,waipawa,NZ,-41.41,175.52,60.67,83,100,14.41,moderate rain
137,tulum,MX,20.22,-87.47,77.25,79,7,6.93,clear sky
138,presidencia roque saenz pena,AR,-26.79,-60.44,67.19,41,0,6.29,clear sky
139,usoke,TZ,-5.17,32.35,64.6,96,100,3.69,overcast clouds
140,aklavik,CA,68.22,-135.01,-3.32,91,100,13.27,overcast clouds
141,beloha,MG,-25.17,45.05,68.02,71,41,10.51,scattered clouds
142,mayo,US,38.89,-76.51,52.18,54,0,19.57,clear sky
143,faanui,PF,-16.48,-151.75,83.07,70,5,17.63,clear sky
144,mackay,AU,-21.15,149.2,83.68,64,100,15.64,overcast clouds
145,aasiaat,GL,68.71,-52.87,-20.29,99,64,6.38,broken clouds
146,kerch,UA,45.36,36.48,37.62,62,3,18.16,clear sky
147,pryazha,RU,61.69,33.62,19.76,95,34,3.4,scattered clouds
148,moengo,SR,5.62,-54.4,74.68,85,100,3.96,overcast clouds
149,lumberton,US,34.62,-79.01,59.45,47,0,7.31,clear sky
150,mujiayingzi,CN,42.12,118.78,29.46,62,77,9.1,broken clouds
151,camargo,MX,27.67,-105.17,78.08,9,100,32.14,overcast clouds
152,usinsk,RU,65.99,57.53,20.07,92,98,15.17,overcast clouds
153,lisala,CD,2.15,21.52,70.56,93,100,2.44,overcast clouds
154,farmington,US,36.73,-108.22,54.28,37,100,9.22,overcast clouds
155,mubende,UG,0.56,31.39,63.64,85,99,1.16,overcast clouds
156,togur,RU,58.36,82.83,12.88,79,100,14.7,overcast clouds
157,olafsvik,IS,64.89,-23.71,33.4,62,100,8.08,overcast clouds
158,hay river,CA,60.82,-115.8,32.63,99,100,2.82,overcast clouds
159,kutum,SD,14.2,24.67,64.58,7,9,5.77,clear sky
160,meridian,US,43.61,-116.39,47.25,30,0,20.71,clear sky
161,lorengau,PG,-2.02,147.27,85.37,69,100,8.46,overcast clouds
162,nuuk,GL,64.18,-51.72,-12.19,97,15,6.46,few clouds
163,athabasca,CA,54.72,-113.29,34.05,67,100,8.61,overcast clouds
164,castro,BR,-24.79,-50.01,58.48,96,100,8.88,overcast clouds
165,puerto escondido,MX,15.85,-97.07,83.23,69,0,6.91,clear sky
166,hamilton,US,39.18,-84.53,55.09,57,0,0.0,clear sky
167,lakes entrance,AU,-37.88,147.98,71.17,63,0,10.87,clear sky
168,gambela,ET,8.25,34.58,84.45,40,100,0.78,overcast clouds
169,northam,GB,51.03,-4.22,45.61,64,35,12.46,scattered clouds
170,faya,SA,18.39,42.45,57.72,70,1,5.68,clear sky
171,creel,MX,27.75,-107.63,50.56,21,0,20.4,clear sky
172,bergerac,FR,44.83,0.5,53.82,66,0,6.91,clear sky
173,takhli,TH,15.26,100.34,84.4,64,100,11.07,overcast clouds
174,stanislav,UA,46.57,32.15,30.97,66,4,9.13,clear sky
175,mar del plata,AR,-38.0,-57.56,58.87,75,20,25.01,few clouds
176,alice springs,AU,-23.7,133.88,89.15,22,0,11.5,clear sky
177,lipin bor,RU,60.26,37.98,27.73,95,39,8.5,scattered clouds
178,tura,IN,25.52,90.22,70.97,46,9,4.16,clear sky
179,astoria,US,46.19,-123.83,45.72,84,100,5.01,moderate rain
180,mount darwin,ZW,-16.77,31.58,57.67,97,9,2.35,clear sky
181,albany,US,42.6,-73.97,39.63,85,100,5.99,light rain
182,tautira,PF,-17.73,-149.15,82.11,71,5,17.05,clear sky
183,atambua,ID,-9.11,124.89,81.1,71,68,1.72,broken clouds
184,surin,TH,14.88,103.49,86.0,87,76,9.46,broken clouds
185,severo-yeniseyskiy,RU,60.37,93.04,15.31,90,100,12.44,overcast clouds
186,zhenlai,CN,45.85,123.3,30.33,34,48,13.35,scattered clouds
187,orsha,BY,54.52,30.41,26.94,96,0,5.82,clear sky
188,atar,MR,20.52,-13.05,71.8,25,0,7.4,clear sky
189,flinders,AU,-34.58,150.86,73.18,68,75,4.0,broken clouds
190,vardo,NO,70.37,31.11,34.75,85,100,13.24,overcast clouds
191,sawakin,SD,19.11,37.33,70.77,75,10,8.9,clear sky
192,the pas,CA,53.83,-101.25,32.9,88,100,14.27,overcast clouds
193,santa isabel,BR,-23.32,-46.22,65.5,97,100,9.71,overcast clouds
194,korla,CN,41.76,86.15,40.84,58,91,8.68,overcast clouds
195,caravelas,BR,-17.71,-39.25,76.33,85,95,4.54,overcast clouds
196,alta floresta,BR,-9.88,-56.09,72.09,96,96,2.08,overcast clouds
197,waingapu,ID,-9.66,120.26,83.35,72,95,3.27,overcast clouds
198,elliot lake,CA,46.38,-82.63,33.66,90,72,7.45,broken clouds
199,bandarbeyla,SO,9.49,50.81,75.4,73,2,5.88,clear sky
200,monaragala,LK,6.87,81.35,73.27,74,17,2.62,few clouds
201,verkhoyansk,RU,67.54,133.38,-9.72,92,38,2.91,scattered clouds
202,belyy yar,RU,53.6,91.39,15.69,66,90,6.71,overcast clouds
203,gold coast,AU,-28.0,153.43,84.16,64,0,12.66,clear sky
204,la palma,US,33.85,-118.05,76.08,45,0,21.85,clear sky
205,touros,BR,-5.2,-35.46,78.57,85,99,8.28,overcast clouds
206,victoria,HK,22.29,114.16,77.05,89,96,15.01,overcast clouds
207,esperance,AU,-33.87,121.9,71.44,90,94,19.71,overcast clouds
208,ibotirama,BR,-12.19,-43.22,82.47,42,100,2.77,overcast clouds
209,thompson,CA,55.74,-97.86,24.91,94,100,6.46,overcast clouds
210,alekseyevsk,RU,57.84,108.35,24.42,92,100,14.81,light snow
211,rocha,UY,-34.48,-54.33,51.87,76,0,3.27,clear sky
212,umm lajj,SA,25.02,37.27,66.63,66,0,8.5,clear sky
213,saint-philippe,RE,-21.36,55.77,76.59,85,96,8.75,overcast clouds
214,ancud,CL,-41.87,-73.82,57.22,91,94,11.61,overcast clouds
215,partizansk,RU,43.13,133.13,32.0,44,13,4.12,few clouds
216,anori,BR,-3.77,-61.64,74.34,98,100,0.94,light rain
217,kaspiyskiy,RU,45.39,47.37,29.16,60,0,9.86,clear sky
218,bud,US,39.45,-86.18,56.68,53,39,7.18,scattered clouds
219,jiaocheng,CN,24.68,116.14,71.69,88,99,1.77,overcast clouds
220,mingaora,PK,34.78,72.36,58.73,52,0,8.28,clear sky
221,kuloy,RU,61.03,42.49,34.41,90,84,10.29,broken clouds
222,kpandae,GH,8.47,-0.01,81.7,71,100,9.48,overcast clouds
223,qaanaaq,GL,77.48,-69.36,-6.07,93,100,6.96,overcast clouds
224,broome,US,42.25,-75.83,40.62,77,0,10.36,clear sky
225,plettenberg bay,ZA,-34.05,23.37,65.23,95,7,2.59,clear sky
226,la ronge,CA,55.1,-105.28,33.8,88,100,12.48,overcast clouds
227,nanortalik,GL,60.14,-45.24,11.73,83,3,9.44,clear sky
228,sturgeon bay,US,44.83,-87.38,46.36,70,0,8.05,clear sky
229,clyde river,CA,70.47,-68.59,-22.34,94,87,7.72,overcast clouds
230,champerico,GT,14.3,-91.92,82.67,67,5,6.2,clear sky
231,visegrad,BA,43.78,19.3,30.25,60,0,0.87,clear sky
232,changping,CN,40.22,116.22,44.24,37,97,6.62,overcast clouds
233,solnechnyy,RU,50.72,136.63,23.36,59,11,2.53,few clouds
234,lata,PT,40.16,-8.33,54.07,88,96,7.18,overcast clouds
235,lebu,CL,-37.62,-73.65,56.93,95,23,6.29,few clouds
236,karpathos,GR,35.51,27.21,46.36,57,98,2.3,overcast clouds
237,bambanglipuro,ID,-7.95,110.28,79.5,84,100,8.1,overcast clouds
238,alofi,NU,-19.06,-169.92,81.46,73,73,16.69,light rain
239,eureka,US,40.8,-124.16,54.68,71,43,8.99,scattered clouds
240,hermanus,ZA,-34.42,19.23,67.8,89,2,9.1,clear sky
241,harrison,US,30.41,-89.04,60.87,68,0,3.44,clear sky
242,chuy,UY,-33.7,-53.46,64.36,47,90,11.56,overcast clouds
243,manturovo,RU,58.34,44.76,35.67,89,100,12.08,overcast clouds
244,fare,PF,-16.7,-151.02,82.15,73,9,19.73,light rain
245,delta del tigre,UY,-34.76,-56.39,59.11,75,1,3.0,clear sky
246,wuda,CN,39.5,106.71,37.6,32,100,7.76,overcast clouds
247,pochutla,MX,15.74,-96.47,83.82,62,4,4.27,clear sky
248,sitka,US,57.05,-135.33,42.69,56,100,13.8,overcast clouds
249,makakilo city,US,21.35,-158.09,80.92,63,75,10.36,light intensity drizzle
250,lufilufi,WS,-13.87,-171.6,83.28,73,27,17.27,scattered clouds
251,peniche,PT,39.36,-9.38,52.11,91,26,15.9,scattered clouds
252,pangnirtung,CA,66.15,-65.71,-16.6,63,0,0.0,clear sky
253,poum,NC,-20.23,164.02,81.12,76,100,18.1,overcast clouds
254,sembakung,ID,3.82,117.25,75.97,95,100,1.19,overcast clouds
255,chulumani,BO,-16.41,-67.53,62.69,99,91,0.58,overcast clouds
256,souillac,MU,-20.52,57.52,78.71,89,99,8.79,light rain
257,taoudenni,ML,22.68,-3.98,73.89,18,0,12.24,clear sky
258,minsk,BY,53.9,27.57,31.75,84,0,6.49,clear sky
259,santana do livramento,BR,-30.89,-55.53,56.71,53,0,14.85,clear sky
260,ewa beach,US,21.32,-158.01,82.35,62,75,10.36,light intensity drizzle
261,te anau,NZ,-45.42,167.72,67.55,50,97,0.85,overcast clouds
262,ormond beach,US,29.29,-81.06,65.08,63,0,3.44,clear sky
263,brae,GB,60.4,-1.35,42.3,75,5,17.05,clear sky
264,akmene,LT,56.25,22.75,35.98,66,0,2.93,clear sky
265,tigil,RU,57.8,158.67,35.46,94,100,11.45,overcast clouds
266,vankleek hill,CA,45.52,-74.65,35.55,79,100,13.24,overcast clouds
267,awbari,LY,26.59,12.78,57.24,40,0,16.82,clear sky
268,saint george,US,37.1,-113.58,59.63,37,20,24.16,few clouds
269,andros town,BS,24.7,-77.77,76.96,72,1,8.46,clear sky
270,hueytamalco,MX,19.95,-97.27,64.44,90,95,1.63,overcast clouds
271,deputatskiy,RU,69.3,139.9,-4.74,88,5,2.19,clear sky
272,inhambane,MZ,-23.86,35.38,72.73,70,100,8.43,overcast clouds
273,san vicente,AR,-26.62,-54.13,62.6,67,0,5.32,clear sky
274,margate,GB,51.38,1.39,35.69,88,0,7.45,clear sky
275,umtata,ZA,-31.59,28.78,60.21,97,85,1.95,overcast clouds
276,drezna,RU,55.75,38.85,35.44,95,0,6.96,clear sky
277,pithoragarh,IN,29.58,80.22,50.4,49,42,4.09,scattered clouds
278,beringovskiy,RU,63.05,179.32,21.15,64,100,4.85,overcast clouds
279,tazovskiy,RU,67.47,78.7,2.61,100,100,3.87,overcast clouds
280,wakkanai,JP,45.41,141.67,31.46,83,100,22.35,light snow
281,ardalstangen,NO,61.24,7.7,26.58,90,35,6.98,scattered clouds
282,kadyy,RU,57.79,43.19,35.69,90,100,12.37,overcast clouds
283,nome,US,64.5,-165.41,12.27,67,0,3.44,clear sky
284,husavik,IS,66.04,-17.34,29.21,78,54,6.44,broken clouds
285,severo-kurilsk,RU,50.68,156.12,32.56,95,100,28.95,snow
286,asau,RO,46.43,26.4,25.72,77,59,5.39,broken clouds
287,ribas do rio pardo,BR,-20.44,-53.76,72.01,96,100,4.56,overcast clouds
288,millerovo,RU,48.92,40.4,26.69,94,40,8.1,scattered clouds
289,carutapera,BR,-1.2,-46.02,75.6,94,100,4.18,overcast clouds
290,tasiilaq,GL,65.61,-37.64,6.96,68,0,8.34,clear sky
291,taltal,CL,-25.4,-70.48,66.69,78,8,2.89,clear sky
292,santa isabel do rio negro,BR,-0.41,-65.02,73.45,99,100,0.4,light rain
293,balkanabat,TM,39.51,54.37,44.67,59,100,6.89,overcast clouds
294,college,US,64.86,-147.8,20.07,52,20,8.05,few clouds
295,bizhbulyak,RU,53.7,54.26,29.23,94,100,13.69,overcast clouds
296,asfi,MA,32.3,-9.24,58.28,73,1,6.93,clear sky
297,phan thiet,VN,10.93,108.1,83.84,67,53,8.3,broken clouds
298,chimbote,PE,-9.09,-78.58,69.85,82,100,8.68,overcast clouds
299,kokopo,PG,-4.35,152.26,85.28,60,100,4.92,overcast clouds
300,la rioja,ES,42.25,-2.5,44.38,89,100,7.76,overcast clouds
301,ambilobe,MG,-13.2,49.05,73.65,96,100,2.68,overcast clouds
302,manaure,CO,11.78,-72.44,79.52,74,99,18.45,overcast clouds
303,awjilah,LY,29.11,21.29,50.7,60,5,17.81,clear sky
304,san patricio,US,28.02,-97.52,69.67,74,100,15.23,overcast clouds
305,wajid,SO,3.81,43.25,75.09,63,6,15.21,clear sky
306,durango,MX,24.83,-104.83,65.79,12,100,15.86,overcast clouds
307,komatipoort,ZA,-25.43,31.95,65.05,88,5,4.38,clear sky
308,republic,US,37.12,-93.48,67.96,33,0,6.91,clear sky
309,atherton,GB,53.52,-2.49,39.42,81,4,2.8,clear sky
310,betioky,MG,-23.72,44.38,64.98,82,0,8.68,clear sky
311,bluff,NZ,-46.6,168.33,59.16,79,13,10.58,few clouds
312,lebedinyy,RU,58.52,125.52,12.52,87,100,10.27,light snow
313,dinan,FR,48.42,-2.25,49.21,79,32,7.49,scattered clouds
314,ifanadiana,MG,-21.3,47.63,63.39,97,85,1.16,overcast clouds
315,jaboticabal,BR,-21.25,-48.32,67.32,80,88,12.12,overcast clouds
316,olinda,BR,-8.01,-34.86,82.13,78,40,6.91,scattered clouds
317,halden,NO,59.12,11.39,30.63,79,0,3.4,clear sky
318,dikson,RU,73.51,80.55,0.52,98,99,10.85,overcast clouds
319,russell,US,32.35,-85.2,64.0,61,0,0.0,clear sky
320,jalu,LY,29.03,21.55,50.86,61,5,17.98,clear sky
321,adelaide,AU,-34.93,138.6,84.56,49,100,4.0,overcast clouds
322,montepuez,MZ,-13.13,39.0,66.83,96,100,7.31,overcast clouds
323,shimoda,JP,34.67,138.95,49.1,77,100,10.29,overcast clouds
324,ellisras,ZA,-23.66,27.74,61.77,57,50,3.96,scattered clouds
325,tres arroyos,AR,-38.37,-60.28,59.18,42,99,13.69,overcast clouds
326,roald,NO,62.58,6.13,42.75,93,0,2.3,clear sky
327,srednekolymsk,RU,67.45,153.68,9.41,81,100,12.03,overcast clouds
328,vaini,TO,-21.2,-175.2,81.48,70,100,18.07,overcast clouds
329,coahuayana,MX,18.73,-103.68,75.09,50,4,4.36,clear sky
330,fort-shevchenko,KZ,44.51,50.26,30.42,55,0,7.34,clear sky
331,mataura,NZ,-46.19,168.86,70.07,42,43,3.11,scattered clouds
332,kununurra,AU,-15.77,128.73,87.78,62,95,3.44,overcast clouds
333,dunkwa,GH,5.97,-1.78,75.06,93,100,2.28,overcast clouds
334,bethel,US,41.37,-73.41,48.94,67,75,12.66,broken clouds
335,sakakah,SA,29.97,40.21,49.89,43,0,12.95,clear sky
336,boulder city,US,35.98,-114.83,66.6,6,0,20.71,clear sky
337,mitsamiouli,KM,-11.38,43.28,81.23,80,100,6.11,light rain
338,guarda,PT,40.54,-7.27,42.22,93,100,4.45,overcast clouds
339,maneadero,MX,31.72,-116.57,60.1,81,44,3.0,scattered clouds
340,cockburn town,TC,21.46,-71.14,78.03,69,0,17.45,clear sky
341,tongchuan,CN,35.08,109.09,46.67,68,100,3.02,overcast clouds
342,sechura,PE,-5.56,-80.82,74.55,70,18,15.48,few clouds
343,bilecik,TR,40.0,30.17,21.88,94,74,6.13,broken clouds
344,youkounkoun,GN,12.53,-13.13,84.09,27,69,7.38,broken clouds
345,longyearbyen,SJ,78.22,15.64,22.84,86,100,32.21,light snow
346,erenhot,CN,43.65,111.98,24.13,30,2,4.38,clear sky
347,marawi,PH,8.0,124.29,77.18,71,100,3.29,overcast clouds
348,boditi,ET,6.97,37.87,60.46,75,78,0.94,light rain
349,klaksvik,FO,62.23,-6.59,45.52,92,100,19.22,overcast clouds
350,leningradskiy,RU,69.38,178.42,7.32,81,0,2.26,clear sky
351,mananara,MG,-16.17,49.77,74.1,93,99,5.57,overcast clouds
352,hasaki,JP,35.73,140.83,50.29,71,100,13.09,overcast clouds
353,nizhniy odes,RU,63.64,54.86,22.39,93,100,11.61,overcast clouds
354,pimentel,PE,-6.84,-79.93,71.89,79,100,15.88,overcast clouds
355,khatanga,RU,71.97,102.5,5.92,95,100,1.68,overcast clouds
356,port alfred,ZA,-33.59,26.89,71.4,88,9,10.33,light rain
357,sao sepe,BR,-30.16,-53.57,58.23,60,0,11.25,clear sky
358,ilulissat,GL,69.22,-51.1,-5.78,54,0,1.14,clear sky
359,punta arenas,CL,-53.15,-70.92,50.11,76,0,10.36,clear sky
360,vila velha,BR,-20.33,-40.29,76.95,87,20,4.61,few clouds
361,inuvik,CA,68.35,-133.72,-3.14,71,100,6.91,light snow
362,mogadishu,SO,2.04,45.34,78.04,81,17,13.85,few clouds
363,miri,MY,4.41,114.01,80.74,83,40,3.44,light rain
364,oistins,BB,13.07,-59.53,77.09,78,40,18.41,scattered clouds
365,kieta,PG,-6.22,155.63,86.59,57,88,5.03,overcast clouds
366,khairpur nathan shah,PK,27.09,67.73,74.88,16,0,0.63,clear sky
367,mahebourg,MU,-20.41,57.7,77.29,94,40,3.44,scattered clouds
368,ormara,PK,25.21,64.64,74.5,76,0,2.55,clear sky
369,doha,QA,25.29,51.53,67.98,39,0,3.44,clear sky
370,san miguel,SV,13.48,-88.18,86.14,47,59,1.39,broken clouds
371,carnarvon,AU,-24.87,113.63,78.87,65,13,24.16,few clouds
372,gladstone,AU,-23.85,151.25,82.33,51,40,11.5,scattered clouds
373,acarau,BR,-2.89,-40.12,77.86,85,100,8.28,overcast clouds
374,sarankhola,BD,22.31,89.79,73.2,75,7,2.86,clear sky
375,saskylakh,RU,71.92,114.08,-4.22,100,100,3.38,overcast clouds
